asset,strategy,config,rebal_threshold,total_return,annual_return,annual_vol,sharpe,max_drawdown,n_trades,total_cost,time_in_market,avg_abs_exposure
SPY,Momentum,h20,,1.2655668946924417,0.08543158944753393,0.10532770365579919,0.8312146330486053,-0.14199200172698265,210,0.10500000000000001,0.6837708830548926,0.6837708830548926
SPY,MomentumVolTarget,tv10,0.0,1.400755219312238,0.09175593955341865,0.08117073479464923,1.1223064205873041,-0.1262684033488799,1791,0.11265986233085942,0.6837708830548926,0.6765314932313047
SPY,MomentumVolTarget,tv10,0.01,1.4053972139567121,0.09196735664913125,0.08118584491205763,1.1244983890185576,-0.12611208655113146,1197,0.11168936497123655,0.6837708830548926,0.6763859106961004
SPY,MomentumVolTarget,tv10,0.02,1.3960135952159378,0.09153960481165857,0.08121716904329056,1.1192701598273704,-0.1261303803872676,985,0.11063700338462923,0.6837708830548926,0.6760511523384879
SPY,MomentumVolTarget,tv10,0.05,1.3872234614396022,0.09113753743952846,0.08142162136617813,1.112136943142825,-0.125960577367522,667,0.1069541863949909,0.6837708830548926,0.6748670825922668
SPY,MomentumVolTarget,tv10,0.1,1.4106165950117204,0.09220463250593536,0.08173960005453647,1.1200891536475779,-0.1261205433491336,461,0.10194083308405966,0.6837708830548926,0.6723281511840664
SPY,MomentumVolTarget,tv20,0.0,2.6622709964402618,0.1389629435057076,0.14609315929547453,0.9641225472422384,-0.2262343853765919,1134,0.17415543594592076,0.6837708830548926,1.1338662310362468
SPY,MomentumVolTarget,tv20,0.01,2.661874859503778,0.1389505936791715,0.1460909565081777,0.964060573734765,-0.22618207848007207,871,0.17371145245081746,0.6837708830548926,1.1338032251295598
SPY,MomentumVolTarget,tv20,0.02,2.671717029558656,0.13925707425954714,0.14608846909911613,0.9659168245789843,-0.2259229427548853,730,0.17275940880047014,0.6837708830548926,1.1331526036200905
SPY,MomentumVolTarget,tv20,0.05,2.6338368259068345,0.13807342142954226,0.1462998537563043,0.9576252771267516,-0.22586293322011444,542,0.17086055571326392,0.6837708830548926,1.131917913614858
SPY,MomentumVolTarget,tv20,0.1,2.6359186204408935,0.13813875946687393,0.14623441366327294,0.9583781326826996,-0.22566121585330765,398,0.1673459623034579,0.6837708830548926,1.1282538313028407
BTC-USD,Momentum,h20,,574.4933055283738,0.5506151129751391,0.4060625062508948,1.2818678881465264,-0.5263076020210874,330,0.165,0.577376061353054,0.577376061353054
BTC-USD,MomentumVolTarget,tv10,0.0,5.618490091309465,0.1393327329277121,0.07886067271896761,1.6938272351959969,-0.14097644693367703,2273,0.057914269261911344,0.577376061353054,0.14993733596671932
BTC-USD,MomentumVolTarget,tv10,0.01,5.572485103891887,0.13878433663394207,0.07912463292450482,1.682351915598465,-0.14069298459633106,935,0.056479271857828584,0.577376061353054,0.15005926107140188
BTC-USD,MomentumVolTarget,tv10,0.02,5.454209921514711,0.13735787741762007,0.07960687226561529,1.6568895892264361,-0.14249828436274928,706,0.05519079429737656,0.577376061353054,0.1499770015081318
BTC-USD,MomentumVolTarget,tv10,0.05,5.7579050507376515,0.14097320092982835,0.08264053875242675,1.637453591727588,-0.14675776369525398,499,0.05295879136779991,0.577376061353054,0.15097069537868849
BTC-USD,MomentumVolTarget,tv10,0.1,5.715379421477131,0.14047617591267203,0.08872641538800498,1.5260926999067697,-0.1343789107977828,388,0.04999271954861094,0.577376061353054,0.15690771418517718
BTC-USD,MomentumVolTarget,tv20,0.0,38.79823396321452,0.28951410335133243,0.1576636118564258,1.6919004905036543,-0.26562758129440733,2271,0.1150755457621744,0.577376061353054,0.2996004737085807
BTC-USD,MomentumVolTarget,tv20,0.01,38.61176101851293,0.28909616149250383,0.15778413244691938,1.6886713102179807,-0.2646746688357683,1212,0.11377092844661221,0.577376061353054,0.2996140846991928
BTC-USD,MomentumVolTarget,tv20,0.02,38.223562436404094,0.28822018385303494,0.15819171564948734,1.6804254648332948,-0.2651576550246119,933,0.11220555095400889,0.577376061353054,0.2998443239179458
BTC-USD,MomentumVolTarget,tv20,0.05,36.584950255597455,0.2844313803106422,0.1594447086273462,1.6499756873168492,-0.26534276244912375,637,0.10822246079720482,0.577376061353054,0.29950185140415214
BTC-USD,MomentumVolTarget,tv20,0.1,40.08447031951903,0.2923482567370468,0.16521341972286632,1.6352171208946753,-0.27583733574465075,495,0.10511682163855357,0.577376061353054,0.3016347508236568
